Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
SRR7497167.494,8265,0,NA,0,NA,0,0
SRR7497167.495,2233,0,NA,0,NA,0,0
SRR7497167.496,1003,0,NA,0,NA,0,0
SRR7497167.497,9582,0,NA,0,NA,0,0
SRR7497167.498,1109,0,NA,0,NA,0,0
SRR7497167.499,4876,0,NA,0,NA,0,0
SRR7497167.500,4325,0,NA,0,NA,0,0
SRR7497167.501,876,0,NA,0,NA,0,0
SRR7497167.502,5477,0,NA,0,NA,0,0
SRR7497167.503,4242,0,NA,0,NA,0,0
SRR7497167.504,2185,0,NA,0,NA,0,0
SRR7497167.505,4602,0,NA,0,NA,0,0
SRR7497167.506,7684,0,NA,0,NA,0,0
SRR7497167.507,3698,0,NA,0,NA,0,0
SRR7497167.508,714,0,NA,0,NA,0,0
SRR7497167.509,3122,0,NA,0,NA,0,0
SRR7497167.510,4666,0.00689655,562,7,28901,6,0.538462
SRR7497167.511,6717,0,NA,0,NA,0,0
SRR7497167.512,5058,0.00317965,5501,16,NA,0,1
SRR7497167.513,10114,0,NA,0,NA,0,0
SRR7497167.514,2362,0,NA,0,NA,0,0
SRR7497167.515,539,0,NA,0,NA,0,0
SRR7497167.516,9766,0,NA,0,NA,0,0
SRR7497167.517,1430,0,NA,0,NA,0,0
SRR7497167.518,10785,0,NA,0,NA,0,0
SRR7497167.519,2407,0,NA,0,NA,0,0
SRR7497167.520,4546,0,NA,0,NA,0,0
SRR7497167.521,5834,0,NA,0,NA,0,0
SRR7497167.522,7395,0.00217126,470,9,480,4,0.692308
SRR7497167.523,1180,0,NA,0,NA,0,0
SRR7497167.524,8242,0,NA,0,NA,0,0
SRR7497167.525,1184,0,NA,0,NA,0,0
SRR7497167.526,5892,0,NA,0,NA,0,0
SRR7497167.527,5365,0,NA,0,NA,0,0
SRR7497167.528,1128,0,NA,0,NA,0,0
