Object_ID, Length, Assignment
SRR7497167.654,845,NA
SRR7497167.655,11761,287
SRR7497167.656,574,NA
SRR7497167.657,7526,NA
SRR7497167.658,1307,NA
SRR7497167.659,788,NA
SRR7497167.660,1392,NA
SRR7497167.661,2857,NA
SRR7497167.662,2347,NA
SRR7497167.663,4037,NA
SRR7497167.664,3888,NA
SRR7497167.665,4542,NA
SRR7497167.666,2402,NA
SRR7497167.667,6135,NA
SRR7497167.668,762,NA
SRR7497167.669,696,NA
SRR7497167.670,4344,NA
SRR7497167.671,1321,NA
SRR7497167.672,1861,NA
SRR7497167.673,7105,NA
SRR7497167.674,1844,NA
SRR7497167.675,5913,5833
SRR7497167.676,2678,NA
SRR7497167.677,4713,NA
SRR7497167.678,1964,NA
SRR7497167.679,7084,NA
SRR7497167.680,4500,5501
SRR7497167.681,2790,NA
SRR7497167.682,6227,NA
SRR7497167.683,1096,NA
SRR7497167.684,1762,NA
SRR7497167.685,2025,NA
SRR7497167.686,1010,NA
SRR7497167.687,2975,NA
SRR7497167.688,726,NA
SRR7497167.689,3860,NA
SRR7497167.690,3722,NA
SRR7497167.691,602,NA
SRR7497167.692,402,NA
SRR7497167.693,539,NA
SRR7497167.694,3527,NA
SRR7497167.695,2656,NA
SRR7497167.696,4072,NA
SRR7497167.697,2575,NA
SRR7497167.698,4539,NA
SRR7497167.699,2725,NA
SRR7497167.700,10466,NA
SRR7497167.701,3264,NA
SRR7497167.702,6825,NA
SRR7497167.703,343,NA
SRR7497167.704,5065,NA
SRR7497167.705,551,NA
SRR7497167.706,7044,NA
SRR7497167.707,1411,NA
SRR7497167.708,4266,NA
SRR7497167.709,3872,NA
SRR7497167.710,2454,NA
SRR7497167.711,3260,5833
SRR7497167.712,498,NA
SRR7497167.713,8447,NA
SRR7497167.714,9378,NA
SRR7497167.715,1319,NA
SRR7497167.716,329,NA
SRR7497167.717,8330,NA
SRR7497167.718,1802,NA
SRR7497167.719,8162,NA
SRR7497167.720,1002,NA
SRR7497167.721,2979,NA
SRR7497167.722,3086,NA
SRR7497167.723,1583,NA
SRR7497167.724,8545,NA
SRR7497167.725,3806,NA
SRR7497167.726,1263,NA
SRR7497167.727,2655,NA
SRR7497167.728,2754,NA
SRR7497167.729,1711,NA
SRR7497167.730,4200,NA
SRR7497167.731,7705,NA
SRR7497167.732,5708,NA
SRR7497167.733,1541,NA
SRR7497167.734,3060,NA
SRR7497167.735,13158,5501
SRR7497167.736,3258,NA
SRR7497167.737,1903,NA
SRR7497167.738,7529,NA
SRR7497167.739,6366,NA
SRR7497167.740,5346,NA
SRR7497167.741,7823,NA
SRR7497167.742,2363,NA
SRR7497167.743,13034,NA
SRR7497167.744,1969,NA
SRR7497167.745,587,NA
SRR7497167.746,2718,NA
SRR7497167.747,9237,NA
SRR7497167.748,7915,NA
SRR7497167.749,1147,NA
SRR7497167.750,2245,NA
SRR7497167.751,418,NA
SRR7497167.752,566,NA
SRR7497167.753,4687,NA
SRR7497167.754,9634,NA
SRR7497167.755,718,NA
SRR7497167.756,1558,NA
SRR7497167.757,7873,NA
SRR7497167.758,2017,NA
SRR7497167.759,3062,NA
SRR7497167.760,555,NA
SRR7497167.761,1294,NA
SRR7497167.762,1951,NA
SRR7497167.763,5510,NA
SRR7497167.764,10098,NA
SRR7497167.765,757,NA
SRR7497167.766,648,NA
SRR7497167.767,2898,NA
SRR7497167.768,3936,NA
SRR7497167.769,1059,NA
SRR7497167.770,1883,NA
SRR7497167.771,1264,NA
SRR7497167.772,7935,NA
SRR7497167.773,1781,NA
SRR7497167.774,3358,NA
SRR7497167.775,8208,NA
SRR7497167.776,1158,NA
SRR7497167.777,4341,NA
SRR7497167.778,4645,NA
SRR7497167.779,1940,NA
SRR7497167.780,8649,NA
SRR7497167.781,587,NA
SRR7497167.782,9521,NA
SRR7497167.783,2747,NA
SRR7497167.784,1316,NA
SRR7497167.785,6736,NA
SRR7497167.786,7333,NA
SRR7497167.787,9848,NA
SRR7497167.788,1235,NA
SRR7497167.789,1940,NA
SRR7497167.790,1279,NA
SRR7497167.791,1957,NA
SRR7497167.792,1734,NA
SRR7497167.793,6569,NA
SRR7497167.794,4372,NA
SRR7497167.795,1239,NA
SRR7497167.796,9490,NA
SRR7497167.797,6238,NA
SRR7497167.798,1774,NA
SRR7497167.799,455,NA
SRR7497167.800,3180,NA
SRR7497167.801,4002,NA
SRR7497167.802,6506,NA
SRR7497167.803,8306,NA
SRR7497167.804,8298,NA
SRR7497167.805,2392,NA
SRR7497167.806,1769,NA
SRR7497167.807,3123,NA
SRR7497167.808,2207,NA
SRR7497167.809,961,NA
SRR7497167.810,390,NA
SRR7497167.811,2121,NA
SRR7497167.812,921,NA
SRR7497167.813,4893,NA
SRR7497167.814,1603,NA
SRR7497167.815,6957,NA
SRR7497167.816,1817,NA
SRR7497167.817,12578,NA
SRR7497167.818,4015,NA
SRR7497167.819,1211,NA
SRR7497167.820,4791,NA
SRR7497167.821,391,NA
SRR7497167.822,3163,NA
SRR7497167.823,7504,5833
SRR7497167.824,6511,NA
SRR7497167.825,873,NA
SRR7497167.826,4802,NA
SRR7497167.827,681,NA
SRR7497167.828,2075,NA
SRR7497167.829,1251,NA
SRR7497167.830,745,NA
SRR7497167.831,6652,NA
SRR7497167.832,5426,NA
SRR7497167.833,10617,NA
SRR7497167.834,1580,NA
SRR7497167.835,3216,NA
SRR7497167.836,7467,NA
SRR7497167.837,3702,NA
SRR7497167.838,19310,NA
SRR7497167.839,8011,NA
SRR7497167.840,7363,NA
SRR7497167.841,12167,NA
SRR7497167.842,1244,NA
SRR7497167.843,2593,NA
SRR7497167.844,3699,NA
SRR7497167.845,1712,NA
SRR7497167.846,364,NA
SRR7497167.847,472,NA
SRR7497167.848,7696,NA
SRR7497167.849,6128,NA
SRR7497167.850,1886,NA
SRR7497167.851,1882,562
SRR7497167.852,5484,NA
SRR7497167.853,553,NA
SRR7497167.854,8638,NA
SRR7497167.855,7910,NA
SRR7497167.856,6074,NA
SRR7497167.857,1161,NA
SRR7497167.858,8962,NA
SRR7497167.859,7807,5501
SRR7497167.860,3900,NA
SRR7497167.861,6432,NA
SRR7497167.862,5441,NA
SRR7497167.863,1840,5833
SRR7497167.864,6703,NA
SRR7497167.865,8618,5833
SRR7497167.866,5891,NA
SRR7497167.867,2918,NA
SRR7497167.868,10784,NA
SRR7497167.869,9315,NA
SRR7497167.870,4116,NA
SRR7497167.871,4505,NA
SRR7497167.872,5350,NA
SRR7497167.873,2104,NA
SRR7497167.874,2270,NA
SRR7497167.875,5688,NA
SRR7497167.876,2473,NA
SRR7497167.877,2336,NA
SRR7497167.878,3660,NA
SRR7497167.879,5166,NA
SRR7497167.880,2535,NA
SRR7497167.881,3938,NA
SRR7497167.882,5246,NA
SRR7497167.883,457,NA
